id	gcf	scf	bs	edge_len	gn	sn
1235	0.27	36.53	1	0.004589079	1105	5401.6
1236	11.23	57.5	1	0.005058427	944	8177.97
1237	25.29	64.33	1	0.003904638	783	3716.63
1238	0.72	38.84	0	0.002970546	1110	5353.07
1239	0.35	45.66	1	0.004756665	1145	5276.49
1240	0.09	39.59	1	0.004713473	1168	4759.22
1241	0.09	40.09	1	0.004290108	1148	4731.77
1242	30.4	61.88	1	0.003941381	1135	5008.24
1243	0	34.85	0.507	0.002050033	1144	4636.55
1244	7.34	41.04	1	0.003641555	1131	4753.7
1245	0.09	34.65	1	0.002834638	1146	4511.63
1246	0.09	37.31	0.998	0.003350316	1151	4335.02
1247	2.12	36.18	1	0.003088436	1133	4275.74
1248	0	32.42	0.678	0.002963319	1153	4270.5
1249	9.43	44.07	1	0.002815582	1135	4080.86
1250	0.44	33.57	1	0.002035772	1148	4150.38
1251	3.17	28.89	1	0.003297686	1071	4212.98
1252	14.81	48.29	1	0.002971693	1134	4126.33
1253	2.84	32.84	1	0.00229396	1128	4234.54
1254	0.17	37.64	1	0.003119031	1156	4809.34
1255	1.14	36.85	1	0.003875081	1141	4886.53
1256	20.84	52.53	1	0.003556989	1137	4718.26
1257	8.53	40.42	1	0.002098586	1126	4616.61
1258	0.18	37.96	0.993	0.002823294	1142	4662.07
1259	0.27	37.44	0.985	0.003444325	1128	4765.52
1260	0.35	38.33	1	0.003710357	1135	4577.61
1261	0.43	36.61	1	0.003580712	1153	4196.45
1262	0.79	35.48	1	0.003225679	1140	4183.28
1263	5.61	35.43	1	0.002876454	1123	3927.68
1264	0.52	34.19	1	0.002569798	1144	4172.82
1265	0.79	34.7	0.976	0.003112074	1138	4171.75
1266	4.86	32.38	0.983	0.003043717	1131	4084.74
1267	18.68	52.53	1	0.002574523	1140	4171.8
1268	3.46	36.4	1	0.001845012	1126	4234.34
1269	0.09	36.66	1	0.002873913	1153	4150.63
1270	10.86	40.91	1	0.004190945	764	3096.83
1271	0.09	36.15	0.985	0.00324625	1140	3827.81
1272	8.38	44.72	1	0.003877346	1122	4689.91
1273	1.22	37.78	1	0.003008007	1148	4651.87
1274	37.24	65.35	1	0.003482934	1144	4711.08
1275	4.87	32.23	1	0.00156582	1108	4510.34
1276	7.31	55.68	1	0.003096436	1135	6101.62
1277	17.69	49.74	1	0.003649639	1108	5201.41
1278	0.17	40.4	1	0.002978624	1150	6140.63
1279	66.05	81.31	1	0.005819245	1137	7071.75
1280	0.26	35.42	1	0.001630641	1149	5323.23
1281	4.97	35.13	1	0.006232801	885	4425.43
1282	0.09	36.98	0.94	0.005232102	1159	5285.48
1283	13.06	60.78	1	0.007222961	1156	6681.72
1284	19.61	53.04	1	0.004596475	1127	5551.01
1285	39.48	54.65	1	0.00393087	1117	5222.81
1286	18.54	35.09	1	0.002672698	1122	5290.09
1287	0.43	46.57	1	0.003656769	1160	6302.93
1288	0.09	35.26	1	0.006108959	1165	5626.4
1289	0.26	37.43	1	0.005600227	1154	5487.29
1290	11.38	42.92	1	0.005082957	1134	5959.38
1291	1.67	38.63	1	0.003731743	1138	6111.02
1292	26.49	55.13	1	0.005023498	1125	6468.77
1293	7.11	36.72	1	0.003198413	1125	6100.92
1294	0	32.31	0	0.004226962	1166	5360.76
1295	0	40	1	0.0054173	1159	5116.85
1296	1.79	34.93	1	0.005148171	1119	5619.77
1297	6.4	35.3	0.995	0.004668775	1094	5631.86
1298	0.67	34.36	0.998	0.004210705	1045	5047.73
1299	4.42	41.9	1	0.004697019	1019	4977.47
1300	39.44	64.77	1	0.004029189	1108	5709.06
1301	0	33.41	1	0.002098666	1152	4312.93
1302	0.09	33.88	0	0.004998271	1143	4163.81
1303	15.45	53.98	1	0.005086758	1120	5467.45
1304	4.55	40.85	1	0.003534638	1120	5140.9
1305	29.02	59.81	1	0.004498648	882	5115.6
1306	0	32.91	0.818	0.001975225	315	1280.3
1307	0.32	40.85	0.84	0.004721656	311	1276.65
1308	12.65	52.01	1	0.004357721	1099	5894.52
1309	40.59	56.06	1	0.003583896	1111	5426.22
1310	0	38.05	0.999	0.002110741	1157	5803.27
1311	3.13	44.03	1	0.005750819	1149	6424.69
1312	13.51	54.2	1	0.004477806	1140	5883.96
1313	11.1	38.02	1	0.002625724	1135	4399.57
1314	23.92	50.21	1	0.002602409	1133	4259.14
1315	15.73	49.99	1	0.001702473	1125	6196.15
1316	0.53	36.6	1	0.002978146	1136	6447.34
1317	2.04	41.42	1	0.005361442	1127	6459.49
1318	21.23	50.24	1	0.0048109	1126	6313.3
1319	16.98	47.21	1	0.003060068	1113	6098.45
1320	9.54	51.86	1	0.003277421	1185	9345.85
1321	16.58	38.88	1	0.01100285	1176	8928.83
1322	81.15	88.78	1	0.009751245	1151	13892.16
1323	27.46	51.56	1	0.001202595	1147	2348.08
1324	31.87	41.96	1	0.000791686	1045	2461.27
1325	81.08	85.68	1	0.000878261	983	12742.16
1326	11.22	45.67	1	0.001214936	1185	11096.43
1327	11.43	43.56	1	0.012688751	1181	10258
1328	22.3	44.43	1	0.011226682	1103	9957.79
1329	24.8	64.64	1	0.008684352	1105	10746.44
1330	71.19	85.87	1	0.006868159	972	9854.1
1331	4.29	38.21	0.999	0.001156492	1142	7397.75
1332	1.66	39.69	1	0.006129541	1142	7074.66
1333	1.28	42.45	1	0.00717238	1171	6897.14
1334	5.15	42.04	1	0.006373186	1145	6845.42
1335	12.24	50.93	1	0.005244628	1127	6598.71
1336	6.3	46.8	1	0.004243999	1142	5403.67
1337	0.26	43.17	1	0.004813248	1153	4901.98
1338	0	34.6	0.995	0.004216685	1153	4613.85
1339	2.85	40.56	1	0.003940808	1156	4388.8
1340	35.63	64.59	1	0.00330998	1145	4305.08
1341	11.03	44.98	1	0.001768576	1142	4108.08
1342	12.78	34.29	0.988	0.002786634	1056	3677.62
1343	0.17	37.94	1	0.002545337	1162	4369.12
1344	0.69	33.19	0.849	0.003978022	1152	4350.37
1345	10.63	38.26	1	0.003732953	1091	4364.84
1346	22.34	56.09	1	0.003235859	1146	4722.67
1347	0.43	36.35	1	0.002357033	1159	4419.84
1348	3.67	33.49	1	0.003621207	1144	4605.48
1349	37.47	62.46	1	0.003427637	1137	4906.64
1350	2.16	37.88	1	0.001912701	1156	4347.48
1351	17.79	47.94	1	0.003166911	1141	4396.68
1352	13.75	42.66	1	0.00231124	1142	4231.11
1353	1.41	31.23	0.805	0.002285311	1133	4776.03
1354	0.26	39.38	1	0.003730132	1174	4605.42
1355	0.26	37.58	0.078	0.003934178	1165	4200.37
1356	3.55	48.94	1	0.003664183	1155	4477.38
1357	21.58	53.46	1	0.002744068	1140	4237.56
1358	2.09	34.17	0.994	0.00160794	1147	4231.18
1359	9.88	37.56	1	0.002518466	1134	4445.17
1360	19.89	51.69	1	0.002223391	1136	4070.52
