id	gcf	scf	bs	edge_len	gn	sn
1153	0.09	34.52	0.998	0.00682649	1154	6686.02
1154	0	35.04	1	0.006765671	1154	6270.69
1155	0	37.23	1	0.007045609	1157	6060.92
1156	0	36.2	1	0.006549767	1157	6146.22
1157	0	36.11	1	0.006813367	1162	6026.16
1158	0	34.38	1	0.006434726	1157	6122.87
1159	0	33.43	1	0.006391323	1151	6092.31
1160	0	35.14	1	0.006102892	1137	6300.65
1161	1.55	32.43	1	0.005698207	1097	6340.25
1162	2.5	34.35	1	0.005025527	1078	6241.66
1163	0.09	33.6	0.948	0.004789615	1125	6408.35
1164	8.23	41.58	1	0.005641259	1094	6692.95
1165	0.09	32.92	0.577	0.004360591	1157	6317.12
1166	0	37.27	1	0.006106078	1150	6047.45
1167	0.18	33.42	1	0.005751128	1110	6370.2
1168	3.61	36.89	1	0.005278515	1080	6506.07
1169	0	33.28	0.13	0.004692182	1137	6371.94
1170	7.84	42.64	1	0.005511682	1109	6355.87
1171	1.44	35.05	1	0.00421925	1114	6368.87
1172	0	33.97	1	0.00501666	1146	6072.04
1173	1.81	35.1	1	0.005868334	1107	5908.84
1174	0.34	34.3	1	0.00505811	883	4984.17
1175	2.31	34.88	0.672	0.005851884	867	5105.38
1176	0	34.18	1	0.005047147	1150	6401.93
1177	0.35	36.74	1	0.005970893	1127	6555.44
1178	9.7	44.67	1	0.005297885	1113	6632.3
1179	0.27	34.56	1	0.004326552	1122	6644.65
1180	12.73	49.28	1	0.005636499	1084	6657.33
1181	0	33.92	0.933	0.00395996	1149	5340.92
1182	0.18	34.22	1	0.006421576	1103	5692.27
1183	1.51	35.91	1	0.005856319	1061	6323.05
1184	0	33.61	1	0.005360354	1147	5573.49
1185	0.7	38.03	1	0.006143097	1137	3289.86
1186	0	25.65	0.961	0.005714529	74	422.89
1187	11.99	42.18	1	0.004995656	1109	3829.69
1188	0.18	34.24	0.988	0.004370811	1125	5159.42
1189	10.97	46.12	1	0.005686405	1103	7006.16
1190	0.27	32.48	1	0.004425482	1129	6202.98
1191	13.85	51.11	1	0.005990219	1090	6862.78
1192	0	34.54	1	0.004279711	1170	5601.22
1193	0.26	38.85	1	0.007477618	1162	4760.05
1194	0.3	31.21	0.523	0.006921004	333	1918.05
1195	0.94	32.83	0.952	0.006783957	319	1926.43
1196	0.26	37.94	1	0.006252171	1153	4868.44
1197	0.26	35.32	0.998	0.006328196	1140	6645.68
1198	21.41	52.07	1	0.006173013	1121	6926.87
1199	5.17	32.46	1	0.004021435	1083	6623.76
1200	0.96	32.91	0.967	0.00526695	1142	6730.29
1201	20	52.75	1	0.005811931	1125	7358.07
1202	0.43	35.88	1	0.003966816	1161	5969.34
1203	1.8	36.18	1	0.00671114	1109	5975.1
1204	7.28	36.01	1	0.006469307	1072	6434.51
1205	1.5	36.34	1	0.005536556	1131	5624.04
1206	5.39	36.03	1	0.006081903	890	5322.46
1207	10.68	50.55	1	0.005494225	1124	7240.01
1208	21.01	41.38	1	0.004913085	1104	6546.35
1209	0.61	38.69	1	0.00371464	1149	6832.74
1210	5.83	56.29	1	0.006120672	1133	7158.88
1211	1.95	37.9	1	0.004167648	1131	6153.07
1212	0.44	34.07	1	0.003912686	1144	5856.72
1213	0.26	34.52	0.915	0.004355361	1150	5882.73
1214	4.63	35.07	1	0.004003056	1123	5824.71
1215	5.8	33.7	1	0.003702129	1121	5499.36
1216	0.61	37.66	1	0.003316439	1153	5713.53
1217	4.4	36.41	1	0.003947723	1136	5471.57
1218	3.68	32.65	1	0.003204722	1140	5634.85
1219	19.34	53.8	1	0.003631846	1127	5514.26
1220	21.85	54.13	1	0.002237283	1126	7037.57
1221	1.1	38.18	0.999	0.004075875	1187	8397.83
1222	14.18	53.16	1	0.010195474	1072	9502.97
1223	17.74	58.65	1	0.007558953	1071	8176.23
1224	7.34	50.02	1	0.006330668	1172	6296.92
1225	57.46	81.16	1	0.004632849	999	6386.02
1226	7.12	45.43	1	0.001046073	1166	5361.84
1227	6.2	37.42	1	0.003623096	1145	5094.56
1228	17.27	40.08	1	0.004635322	1042	4907
1229	24.38	48.45	1	0.003652568	1124	5160.13
1230	10.45	36.23	0.825	0.003302359	1101	5076.38
1231	1.01	34.1	1	0.002856598	1183	6014.24
1232	1.22	32.49	1	0.006234526	1147	6317.91
1233	1.84	37.17	1	0.005466873	1140	6241.16
1234	0.7	43.62	1	0.004994106	1136	6194.19
