sample	data_type	target_file
E_botryoides	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brachycalyx_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brachycalyx_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brandiana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brandiana_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brassiana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brevipes_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brevipes_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brevistylis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_bridgesiana	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brockwayi	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_brownii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_burracoppinensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cadens	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_Boyagin_Rock_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_Boyagin_Rock_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_Southern_rocks	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_caesia_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_caesia_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_magna_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_magna_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_magna_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_magna_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caesia_magna_5	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cajuputea	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcareana_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcareana_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcareana_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcareana_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcicola_unita_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calcicola_unita_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caleyi_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caleyi_caleyi_x_ovendenii_intergrade	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_caliginosa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calycogona_calycogona_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calycogona_calycogona_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_calycogona_trachybasis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_arida_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_arida_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_arida_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_arida_5	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_camaldulensis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_refulgens_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_refulgens_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camaldulensis_simulata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cameronii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_campaspe	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_camphora_camphora	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_canaliculata	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_canescens_beadellii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_canescens_canescens	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_capillosa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_capillosa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_capillosa_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_capillosa_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_capitanea	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_captiosa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_carnei	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_celastroides_celastroides	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_celastroides_virella_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_celastroides_virella_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cerasiformis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cernua	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_chloroclada_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_chloroclada_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_chlorophylla_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_chlorophylla_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cladocalyx_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cladocalyx_crassa	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_clelandii	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cloeziana_Ferguson2024	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_cneorifolia	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_codonocarpa_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_codonocarpa_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_comitaexvallis	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_concinna	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_confluens	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conglobata_conglobata_1	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conglobata_conglobata_2	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conglobata_conglobata_3	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
E_conglobata_conglobata_4	dna	~/EucsPhylogenomics/files/hybpiper/crisp101_eucs.fna
