file	sum_len	cov
E_ewartiana	18229394850	36.4587897
E_glomerosa_1	18234089380	36.46817876
E_clelandii	18247216742	36.494433484
E_rugosa	18249294326	36.498588652
E_armillata	18250647900	36.5012958
E_subtilis_1	18251642354	36.503284708
E_erythrocorys_2	18255018876	36.510037752
E_atrata_2	18274977962	36.549955924
E_litorea	18279658666	36.559317332
E_websteriana_1	18300961192	36.601922384
E_grasbyi_4	18302653032	36.605306064
E_scoparia	18322256812	36.644513624
E_redunca	18322643228	36.645286456
E_sp_Sullivan_Soak_4	18331243992	36.662487984
E_oligantha_3	18333947304	36.667894608
E_eudesmioides_2	18338896494	36.677792988
E_sp_Great_Victoria_Desert_1	18339397204	36.678794408
E_arachnaea_arrecta_2	18348071860	36.69614372
E_sporadica_2	18349879212	36.699758424
E_beardiana_2	18376766920	36.75353384
E_zopherophloia	18384838376	36.769676752
E_sporadica_4	18390880514	36.781761028
E_recta_2	18410467112	36.820934224
E_aspratilis_1	18462504220	36.92500844
E_planipes_5	18475804574	36.951609148
E_oxymitra_1	18496225538	36.992451076
E_terebra	18559939154	37.119878308
E_leptopoda_subluta	18590327378	37.180654756
E_orbifolia	18614720814	37.229441628
E_dolichocera	18626866558	37.253733116
E_corrugata	18627464424	37.254928848
E_pluricaulis_pluricaulis	18649874414	37.299748828
E_histophylla_2	18660812242	37.321624484
E_codonocarpa_2	18669955866	37.339911732
E_sp_South_Newdegate_Lakes	18670785392	37.341570784
E_brevistylis	18721215634	37.442431268
E_nebulosa_2	18728190960	37.45638192
E_formanii_Broadxleaf_1	18737346800	37.4746936
E_subangusta_subangusta	18766611058	37.533222116
E_utilis_1	18797293192	37.594586384
E_formanii_formanii_3	18800044400	37.6000888
C_tessellaris_3	18806766020	37.61353204
E_tereticornis_tereticornis_1	18822267888	37.644535776
E_nebulosa_1	18849619070	37.69923814
E_conglobata_conglobata_4	18853313254	37.706626508
E_sheathiana_2	18870566402	37.741132804
E_ewartiana_x_E_leptopoda_arctata	18877351752	37.754703504
E_x_carolaniae_1	18915123888	37.830247776
