tip_label	genus	subgenus	section
E_morrisbyi_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_myriadena_1	Eucalyptus	Symphyomyrtus	Dumaria
E_myriadena_2	Eucalyptus	Symphyomyrtus	Dumaria
E_myriadena_3	Eucalyptus	Symphyomyrtus	Dumaria
E_myriadena_4	Eucalyptus	Symphyomyrtus	Dumaria
E_myriadena_5	Eucalyptus	Symphyomyrtus	Dumaria
E_myriadena_6	Eucalyptus	Symphyomyrtus	Dumaria
E_nebulosa_1	Eucalyptus	Eucalyptus	Eucalyptus
E_nebulosa_2	Eucalyptus	Eucalyptus	Eucalyptus
E_neutra_1	Eucalyptus	Symphyomyrtus	Bisectae
E_neutra_2	Eucalyptus	Symphyomyrtus	Bisectae
E_neutra_3	Eucalyptus	Symphyomyrtus	Bisectae
E_neutra_4	Eucalyptus	Symphyomyrtus	Bisectae
E_neutra_5	Eucalyptus	Symphyomyrtus	Bisectae
E_neutra_6	Eucalyptus	Symphyomyrtus	Bisectae
E_normantonensis	Eucalyptus	Symphyomyrtus	Adnataria
E_notactites	Eucalyptus	Symphyomyrtus	Bisectae
E_obesa_1	Eucalyptus	Symphyomyrtus	Bisectae
E_obesa_2	Eucalyptus	Symphyomyrtus	Bisectae
E_obtusiflora_dongarraensis	Eucalyptus	Symphyomyrtus	Dumaria
E_occidentalis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_ochrophloia	Eucalyptus	Symphyomyrtus	Adnataria
E_odorata	Eucalyptus	Symphyomyrtus	Adnataria
E_odorata_x_E_phenax	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H
E_oleosa_ampliata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_oleosa_ampliata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_oleosa_ampliata_3	Eucalyptus	Symphyomyrtus	Bisectae
E_oleosa_cylindroidea	Eucalyptus	Symphyomyrtus	Bisectae
E_oligantha_1	Eucalyptus	Symphyomyrtus	Adnataria
E_oligantha_2	Eucalyptus	Symphyomyrtus	Adnataria
E_oligantha_3	Eucalyptus	Symphyomyrtus	Adnataria
E_oligantha_4	Eucalyptus	Symphyomyrtus	Adnataria
E_oligantha_5	Eucalyptus	Symphyomyrtus	Adnataria
E_olivina_1	Eucalyptus	Symphyomyrtus	Bisectae
E_olivina_2	Eucalyptus	Symphyomyrtus	Bisectae
E_opimiflora	Eucalyptus	Symphyomyrtus	Bisectae
E_optima	Eucalyptus	Symphyomyrtus	Bisectae
E_oraria_1	Eucalyptus	Symphyomyrtus	Dumaria
E_oraria_2	Eucalyptus	Symphyomyrtus	Dumaria
E_orbifolia	Eucalyptus	Symphyomyrtus	Bisectae
E_ornata	Eucalyptus	Symphyomyrtus	Bisectae
E_ovata_grandiflora	Eucalyptus	Symphyomyrtus	Maidenaria
E_ovata_ovata_1	Eucalyptus	Symphyomyrtus	Maidenaria
E_ovata_ovata_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_ovata_ovata_3	Eucalyptus	Symphyomyrtus	Maidenaria
E_ovata_ovata_4	Eucalyptus	Symphyomyrtus	Maidenaria
E_ovularis	Eucalyptus	Symphyomyrtus	Dumaria
E_oxymitra_1	Eucalyptus	Symphyomyrtus	Bisectae
E_oxymitra_2	Eucalyptus	Symphyomyrtus	Bisectae
E_pachycalyx_pachycalyx	Eucalyptus	Symphyomyrtus	Bisectae
E_pallida	Eucalyptus	Eudesmia	Limbatae
E_panda	Eucalyptus	Symphyomyrtus	Adnataria
E_patellaris	Eucalyptus	Symphyomyrtus	Adnataria
E_patens	Eucalyptus	Eucalyptus	Longistylus
E_pauciflora_parvifructa_1	Eucalyptus	Eucalyptus	Eucalyptus
E_pauciflora_parvifructa_2	Eucalyptus	Eucalyptus	Eucalyptus
E_peninsularis_1	Eucalyptus	Symphyomyrtus	Bisectae
E_peninsularis_2	Eucalyptus	Symphyomyrtus	Bisectae
E_peninsularis_3	Eucalyptus	Symphyomyrtus	Bisectae
E_perangusta	Eucalyptus	Symphyomyrtus	Bisectae
E_percostata_1	Eucalyptus	Symphyomyrtus	Dumaria
E_percostata_2	Eucalyptus	Symphyomyrtus	Dumaria
E_perriniana_1	Eucalyptus	Symphyomyrtus	Maidenaria
E_perriniana_2	Eucalyptus	Symphyomyrtus	Maidenaria
E_petiolaris_1	Eucalyptus	Symphyomyrtus	Adnataria
E_petiolaris_2	Eucalyptus	Symphyomyrtus	Adnataria
E_petraea_1	Eucalyptus	Symphyomyrtus	Adnataria
E_petraea_2	Eucalyptus	Symphyomyrtus	Adnataria
E_petraea_3	Eucalyptus	Symphyomyrtus	Adnataria
