sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1457043	1455946	Eucgitsequencing_5_FD	CCA1181	Eucalyptus gittinsii subsp. gittinsii	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Tetraedrae	gittinsii	gittinsii	E_gittinsii_gittinsii
1456846	1455552	Eucgitsequencing_4_FD	CCA0240	Eucalyptus gittinsii subsp. illucida	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Tetraedrae	gittinsii	illucida	E_gittinsii_illucida
1457110	1456080	Eucglasequencing_3_FD	CCA1380	Eucalyptus glaucina	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	glaucina		E_glaucina_1
1457111	1456082	Eucglasequencing_4_FD	CCA1383	Eucalyptus glaucina	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	glaucina		E_glaucina_2
1456754	1455368	Eucglosequencing_3_FD	CCA0013	Eucalyptus glomerosa	Eucalyptus	Symphyomyrtus	Bisectae	Curviptera	Xylocarpae	glomerosa		E_glomerosa_1
1457143	1456146	Eucglosequencing_4_FD	CCA1470	Eucalyptus glomerosa	Eucalyptus	Symphyomyrtus	Bisectae	Curviptera	Xylocarpae	glomerosa		E_glomerosa_2
1457060	1455980	Eucgomsequencing_8_FD	CCA1202	Eucalyptus gomphocephala	Eucalyptus	Symphyomyrtus	Bolites			gomphocephala		E_gomphocephala
1456666	1455192	Eucgomsequencing_7_FD	CCA5969	Eucalyptus gomphocephala x E. zopherophloia								E_gomphocephala_x_E_zopherophloia_1
1456667	1455194	Eucgomsequencing_6_FD	CCA5972	Eucalyptus gomphocephala x E. zopherophloia								E_gomphocephala_x_E_zopherophloia_2
1457286	1456432	Eucgonsequencing_5_FD	CCA2951	Eucalyptus goniantha subsp. goniantha	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Rugatae	goniantha	goniantha	E_goniantha_goniantha
1456998	1455856	Eucgonsequencing_6_FD	CCA0620	Eucalyptus goniocalyx subsp. viridissima	Eucalyptus	Symphyomyrtus	Maidenaria	Globulares	'Clivosae' ms	goniocalyx	viridissima	E_goniocalyx_viridissima
1456774	1455408	Eucgonsequencing_7_FD	CCA0055	Eucalyptus goniocarpa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Erectae	Abundae	goniocarpa		E_goniocarpa
1457005	1455870	Eucgrasequencing_210_FD	CCA0643	Eucalyptus gracilis	Eucalyptus	Symphyomyrtus	Bisectae	Heterostemones		gracilis		E_gracilis
1457218	1456296	Eucgrasequencing_212_FD	CCA1656	Eucalyptus grandis	Eucalyptus	Symphyomyrtus	Latoangulatae	Transversae		grandis		E_grandis
1457219	1456298	Eucgrasequencing_211_FD	CCA1659	Eucalyptus granitica	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		granitica		E_granitica
1456629	1455118	Eucgrasequencing_209_FD	CCA5835	Eucalyptus grasbyi	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	grasbyi		E_grasbyi_1
1456610	1455080	Eucgrasequencing_208_FD	CCA5836	Eucalyptus grasbyi	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	grasbyi		E_grasbyi_2
1456711	1455282	Eucgrasequencing_213_FD	CCA6000	Eucalyptus grasbyi	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	grasbyi		E_grasbyi_3
1456712	1455284	Eucgrasequencing_214_FD	CCA6001	Eucalyptus grasbyi	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Spirales	grasbyi		E_grasbyi_4
1457001	1455862	Eucgrisequencing_2_FD	CCA0631	Eucalyptus griffithsii	Eucalyptus	Symphyomyrtus	Dumaria	Torquatae		griffithsii		E_griffithsii
1457227	1456314	Eucgrisequencing_3_FD	CCA1678	Eucalyptus grisea	Eucalyptus	Symphyomyrtus	Pumilio	Lepidotae-Fimbriatia		grisea		E_grisea
