FieldID,RowTree,CurrentName,Voucher,Provenance,RowNum,YearPlanted,TreeNum,DNNumber,FieldComments,Date,FieldDetermination,Location,Description,Latitude,Longitude,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies
CCA5336,R293/T11,Eucalyptus buprestium,DN 6703,"Woogenellup, WA",293,2015,11,6703,NA,2013-11-25,Eucalyptus bupestrium,"Woogenilup North Road, Western Australia.","Mallee to 3 metres tall. Leaves dull, green. Growing with Eucalyptus decipiens, E. decurva, E. pachyloma, E. pleurocarpa and E. uncinata. PERTH Seeds",-34.5186111111111,118.008888888889,Eucalyptus,Eucalyptus,'Frutices' ms,Diversiformae,Cochleatae,buprestium,
CCA5337,R293/T12,Eucalyptus buprestium,DN 6703,"Woogenellup, WA",293,2015,12,6703,NA,2013-11-25,Eucalyptus bupestrium,"Woogenilup North Road, Western Australia.","Mallee to 3 metres tall. Leaves dull, green. Growing with Eucalyptus decipiens, E. decurva, E. pachyloma, E. pleurocarpa and E. uncinata. PERTH Seeds",-34.5186111111111,118.008888888889,Eucalyptus,Eucalyptus,'Frutices' ms,Diversiformae,Cochleatae,buprestium,
CCA5338,R293/T13,Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,2015,13,6791,NA,2014-05-16,Eucalyptus langleyi,"Braidwood Rd, Parma Creek Nature Reserve, New South Wales.","Whipstick mallee to 5 metres tall. Bark smooth throughout, grey over coppery-tan. No parts pruinose. Leaves glossy, green. In full flower. Clumps of mallees on sandstone soil with Corymbia gummifera and Eucalyptus racemosa. AD Seeds + photos",-34.9736111111111,150.494166666667,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,langleyi,
CCA5339,R293/T14,Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,2015,14,6791,NA,2014-05-16,Eucalyptus langleyi,"Braidwood Rd, Parma Creek Nature Reserve, New South Wales.","Whipstick mallee to 5 metres tall. Bark smooth throughout, grey over coppery-tan. No parts pruinose. Leaves glossy, green. In full flower. Clumps of mallees on sandstone soil with Corymbia gummifera and Eucalyptus racemosa. AD Seeds + photos",-34.9736111111111,150.494166666667,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,langleyi,
CCA5340,R293/T15,Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,2015,15,6791,NA,2014-05-16,Eucalyptus langleyi,"Braidwood Rd, Parma Creek Nature Reserve, New South Wales.","Whipstick mallee to 5 metres tall. Bark smooth throughout, grey over coppery-tan. No parts pruinose. Leaves glossy, green. In full flower. Clumps of mallees on sandstone soil with Corymbia gummifera and Eucalyptus racemosa. AD Seeds + photos",-34.9736111111111,150.494166666667,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,langleyi,
CCA5341,R293/T16,Eucalyptus langleyi,DN 6791,"Nowra, NSW",293,2015,16,6791,NA,2014-05-16,Eucalyptus langleyi,"Braidwood Rd, Parma Creek Nature Reserve, New South Wales.","Whipstick mallee to 5 metres tall. Bark smooth throughout, grey over coppery-tan. No parts pruinose. Leaves glossy, green. In full flower. Clumps of mallees on sandstone soil with Corymbia gummifera and Eucalyptus racemosa. AD Seeds + photos",-34.9736111111111,150.494166666667,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Irregulares,langleyi,
CCA5342,R294/T01,Angophora costata subsp. costata,DN 6796,"Bellingen, NSW",294,2015,1,6796,NA,2014-05-20,Angophora costata,"Scotchmans Range Rd, Scotchman State Forest, east of Bellingen, New South Wales.","Tree to 25 metres tall. Bark smooth throughout, but many flakes attached, grey-brown over pale orange. Leaves discolorous, glossy and green above. Scattered here, growing on ridge in dry forest of Corymbia intermedia, Eucalyptus pilularis, E. siderophloia, E. carnea and E. propinqua. AD, CANB Seed",-30.4513888888889,152.8275,Angophora,,,'Costatitae' ms,,costata,costata
CCA5343,R294/T02,Angophora costata subsp. costata,DN 6796,"Bellingen, NSW",294,2015,2,6796,NA,2014-05-20,Angophora costata,"Scotchmans Range Rd, Scotchman State Forest, east of Bellingen, New South Wales.","Tree to 25 metres tall. Bark smooth throughout, but many flakes attached, grey-brown over pale orange. Leaves discolorous, glossy and green above. Scattered here, growing on ridge in dry forest of Corymbia intermedia, Eucalyptus pilularis, E. siderophloia, E. carnea and E. propinqua. AD, CANB Seed",-30.4513888888889,152.8275,Angophora,,,'Costatitae' ms,,costata,costata
CCA5344,R294/T03,Angophora costata subsp. costata,DN 6796,"Bellingen, NSW",294,2015,3,6796,NA,2014-05-20,Angophora costata,"Scotchmans Range Rd, Scotchman State Forest, east of Bellingen, New South Wales.","Tree to 25 metres tall. Bark smooth throughout, but many flakes attached, grey-brown over pale orange. Leaves discolorous, glossy and green above. Scattered here, growing on ridge in dry forest of Corymbia intermedia, Eucalyptus pilularis, E. siderophloia, E. carnea and E. propinqua. AD, CANB Seed",-30.4513888888889,152.8275,Angophora,,,'Costatitae' ms,,costata,costata
CCA5345,R294/T04,Angophora costata subsp. costata,DN 6796,"Bellingen, NSW",294,2015,4,6796,NA,2014-05-20,Angophora costata,"Scotchmans Range Rd, Scotchman State Forest, east of Bellingen, New South Wales.","Tree to 25 metres tall. Bark smooth throughout, but many flakes attached, grey-brown over pale orange. Leaves discolorous, glossy and green above. Scattered here, growing on ridge in dry forest of Corymbia intermedia, Eucalyptus pilularis, E. siderophloia, E. carnea and E. propinqua. AD, CANB Seed",-30.4513888888889,152.8275,Angophora,,,'Costatitae' ms,,costata,costata
CCA5346,R294/T05,Eucalyptus crebra,DN 6495,"Eulorel, Qld",294,2015,5,6495,NA,2012-06-28,Eucalyptus crebra,"Ca. 5 km west of Eulorel, Queensland.","Tree to 15 metres tall. Bark rough throughout, ironbark. Leaves dull, blue-green. Flowers white. On broad rise in sandy soil in woodland dominated by Callitris glaucophylla and with Corymbia dolichocarpa and Eucalyptus melanophloia subsp. melanophloia. AD Seed",-27.1005555555556,148.709166666667,Eucalyptus,Symphyomyrtus,Adnataria,Siderophloiae,,crebra,
