file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
E_goniocalyx_viridissima_R2	FASTQ	DNA	55335140	8226330239	49	148.7	150	150	150	150	0	150	1	97	94	27.19	40.06	659511
E_goniocarpa_R1	FASTQ	DNA	58656943	8714995982	49	148.6	150	150	150	150	0	150	1	98	94	26.43	41.39	43193
E_goniocarpa_R2	FASTQ	DNA	58656943	8714995982	49	148.6	150	150	150	150	0	150	1	96	91	24.89	41.48	14636
E_gracilis_R1	FASTQ	DNA	34895277	5218815393	49	149.6	150	150	150	150	0	150	1	96	90	24.37	40.93	61853
E_gracilis_R2	FASTQ	DNA	34895277	5218815393	49	149.6	150	150	150	150	0	150	1	96	90	24.23	40.88	7328
E_grandis_R1	FASTQ	DNA	84334791	12546560550	49	148.8	150	150	150	150	0	150	1	98	95	26.89	43.38	200748
E_grandis_R2	FASTQ	DNA	84334791	12546560550	49	148.8	150	150	150	150	0	150	1	97	92	25.26	43.24	35596
E_granitica_R1	FASTQ	DNA	41071382	6100307730	49	148.5	150	150	150	150	0	150	1	98	95	26.77	43.88	97538
E_granitica_R2	FASTQ	DNA	41071382	6100307730	49	148.5	150	150	150	150	0	150	1	97	93	25.31	43.74	17463
E_grasbyi_1_R1	FASTQ	DNA	57688389	8596957340	49	149	150	150	150	150	0	150	1	98	95	27.54	41.17	127184
E_grasbyi_1_R2	FASTQ	DNA	57688389	8596957340	49	149	150	150	150	150	0	150	1	97	93	25.53	41.13	49662
E_grasbyi_2_R1	FASTQ	DNA	58918765	8787063213	49	149.1	150	150	150	150	0	150	1	98	95	27.29	40.64	110508
E_grasbyi_2_R2	FASTQ	DNA	58918765	8787063213	49	149.1	150	150	150	150	0	150	1	96	91	24.77	40.79	12206
E_grasbyi_3_R1	FASTQ	DNA	69313196	10322548348	49	148.9	150	150	150	150	0	150	1	96	91	24.71	40.87	58221
E_grasbyi_3_R2	FASTQ	DNA	69313196	10322548348	49	148.9	150	150	150	150	0	150	1	95	88	23.3	40.98	55571
E_grasbyi_4_R1	FASTQ	DNA	61391750	9151326516	49	149.1	150	150	150	150	0	150	1	96	91	24.81	40.91	49900
E_grasbyi_4_R2	FASTQ	DNA	61391750	9151326516	49	149.1	150	150	150	150	0	150	1	95	88	23.37	41.01	48157
E_griffithsii_R1	FASTQ	DNA	34498731	5084227755	49	147.4	150	150	150	150	0	150	1	98	94	27.79	39.97	208301
E_griffithsii_R2	FASTQ	DNA	34498731	5084227755	49	147.4	150	150	150	150	0	150	1	98	94	27.51	40.18	405459
E_grisea_R1	FASTQ	DNA	68508732	10212195267	49	149.1	150	150	150	150	0	150	1	98	95	27.1	42.63	163163
E_grisea_R2	FASTQ	DNA	68508732	10212195267	49	149.1	150	150	150	150	0	150	1	97	93	25.57	42.63	29397
E_grossa_1_R1	FASTQ	DNA	51927236	7743327703	49	149.1	150	150	150	150	0	150	1	97	92	25.68	41.24	95232
E_grossa_1_R2	FASTQ	DNA	51927236	7743327703	49	149.1	150	150	150	150	0	150	1	96	90	24.41	41.15	18126
E_grossa_2_R1	FASTQ	DNA	60946522	9070502479	49	148.8	150	150	150	150	0	150	1	97	92	25.54	41.94	112090
E_grossa_2_R2	FASTQ	DNA	60946522	9070502479	49	148.8	150	150	150	150	0	150	1	97	92	25.36	41.74	21720
