initial_label	genus	subgenus	section	is_included	is_label_swapped	final_label	notes
E_drepanophylla_2	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	FALSE	E_drepanophylla_2	Did not group together with other samples
E_drepanophylla_3	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_drepanophylla_3	
E_drepanophylla_4	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_drepanophylla_4	
E_drummondii_1	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	TRUE	E_scoparia	Different section
E_drummondii_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_drummondii_2	
E_dumosa	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_dumosa	
E_dundasii	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	FALSE	FALSE	E_dundasii	Different section
E_dwyeri	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_dwyeri	
E_ebbanoensis_ebbanoensis	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_ebbanoensis_ebbanoensis	
E_ebbanoensis_photina	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_ebbanoensis_photina	
E_ecostata_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_ecostata_1	
E_ecostata_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_ecostata_2	
E_educta_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_educta_1	
E_educta_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_educta_2	
E_educta_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_educta_3	
E_effusa_effusa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_effusa_effusa	
E_effusa_exsul_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_effusa_exsul_2	
E_elata_1	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_elata_1	
E_elata_2	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_elata_2	
E_eremicola_eremicola	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_eremicola_eremicola	
E_eremicola_peeneri_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_eremicola_peeneri_1	
E_eremicola_peeneri_2	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_eremicola_peeneri_2	Estimated mean coverage <10x
E_erythrocorys_1	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_erythrocorys_1	
E_erythrocorys_2	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_erythrocorys_2	
E_erythrocorys_3	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_erythrocorys_3	
E_erythrocorys_4	Eucalyptus	Eudesmia	Limbatae	FALSE	TRUE	E_arborella	Different subgenus
E_erythrocorys_Ferguson2024	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_erythrocorys_Ferguson2024	
E_erythronema_inornata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_erythronema_inornata	
E_eudesmioides_1	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_eudesmioides_1	
E_eudesmioides_2	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_eudesmioides_2	
E_eugenioides	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_eugenioides	
E_ewartiana	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_ewartiana	
E_ewartiana_x_E_leptopoda_arctata	Eucalyptus-H	Symphyomyrtus-H	Bisectae-H	FALSE	FALSE	E_ewartiana_x_E_leptopoda_arctata	Hybrid
E_exigua	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_exigua	
E_exilipes_1	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_exilipes_1	
E_exilipes_2	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_exilipes_2	
E_exilis_1	Eucalyptus	Eucalyptus	'Frutices' ms	TRUE	FALSE	E_exilis_1	
E_exilis_2	Eucalyptus	Eucalyptus	'Frutices' ms	TRUE	FALSE	E_exilis_2	
E_expressa	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_expressa	
E_exserta	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_exserta	
E_falcata	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_falcata	Different section
E_fasciculosa	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_fasciculosa	
E_fergusonii_dorsiventralis	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_fergusonii_dorsiventralis	
E_fibrosa_Ferguson2024	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_fibrosa_Ferguson2024	
E_flavida	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_flavida	
E_flindersii_1	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_flindersii_1	
E_flindersii_2	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_flindersii_2	
E_flocktoniae_flocktoniae_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_flocktoniae_flocktoniae_1	
E_flocktoniae_flocktoniae_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_flocktoniae_flocktoniae_2	Did not group together with other samples
E_flocktoniae_flocktoniae_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_flocktoniae_flocktoniae_3	Did not group together with other samples
E_flocktoniae_flocktoniae_x_E_occidentalis	Eucalyptus-H	Symphyomyrtus-H	Bisectae-H	FALSE	FALSE	E_flocktoniae_flocktoniae_x_E_occidentalis	Hybrid
E_flocktoniae_hebes	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_flocktoniae_hebes	
E_foliosa	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_foliosa	
E_formanii_Broadxleaf_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_formanii_Broadxleaf_1	
E_formanii_Broadxleaf_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_formanii_Broadxleaf_2	
E_formanii_Broadxleaf_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_formanii_Broadxleaf_3	
E_formanii_formanii_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_formanii_formanii_1	
E_formanii_formanii_2	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_formanii_formanii_2	Did not group together with other samples
E_formanii_formanii_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_formanii_formanii_3	
E_forrestiana	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_forrestiana	Estimated mean coverage <10x
E_fraseri_fraseri_1	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_fraseri_fraseri_1	
E_fraseri_fraseri_2	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_fraseri_fraseri_2	
E_fraseri_melanobasis	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_fraseri_melanobasis	Did not group together with other samples
E_frenchiana	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_frenchiana	
E_froggattii	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_froggattii	
E_fruticosa_1	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_fruticosa_1	Estimated mean coverage <10x
E_fruticosa_2	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_fruticosa_2	Estimated mean coverage <10x
E_gamophylla	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_gamophylla	
E_gardneri_gardneri	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_gardneri_gardneri	
E_gardneri_ravensthorpensis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_gardneri_ravensthorpensis	
E_georgei_fulgida	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_georgei_fulgida	
E_georgei_georgei	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_georgei_georgei	
E_gillenii_1	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_gillenii_1	Did not group together with other samples
E_gillenii_2	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_gillenii_2	Did not group together with other samples
E_gillii_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_gillii_1	Did not group together with other samples
E_gillii_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_gillii_2	Did not group together with other samples
E_gittinsii_gittinsii	Eucalyptus	Eudesmia	Limbatae	FALSE	FALSE	E_gittinsii_gittinsii	Different subgenus
E_gittinsii_illucida	Eucalyptus	Eudesmia	Limbatae	TRUE	FALSE	E_gittinsii_illucida	
